"State","Year","PacksPerCapita"
"Louisiana",1973,126.7
"Maine",1973,138
"Minnesota",1973,106.8
"Mississippi",1973,115
"Missouri",1973,132.1
"Montana",1973,119.9
"Nebraska",1973,106.6
"Nevada",1973,201.5
"New Hampshire",1973,279
"New Mexico",1973,98.9
"North Carolina",1973,226.5
"North Dakota",1973,108.7
"Ohio",1973,120.5
"Oklahoma",1973,124.1
"Pennsylvania",1973,110.7
"Rhode Island",1973,142
"South Carolina",1973,125.5
"South Dakota",1973,103.5
"Tennessee",1973,109.7
"Texas",1973,110.4
"Utah",1973,72.7
"Vermont",1973,146.8
"Virginia",1973,143.1
"West Virginia",1973,116.6
"Wisconsin",1973,109.5
"Wyoming",1973,141.2
"California",1973,124.4
"Alabama",1974,108.2
"Arkansas",1974,109.7
"Colorado",1974,132.8
"Connecticut",1974,112.4
"Delaware",1974,151.3
"Georgia",1974,123.7
"Idaho",1974,125.6
"Illinois",1974,131.9
"Indiana",1974,159.6
"Iowa",1974,116.1
"Kansas",1974,118.6
"Kentucky",1974,212.4
"Louisiana",1974,129.9
"Maine",1974,142.1
"Minnesota",1974,110.6
"Mississippi",1974,117.1
"Missouri",1974,135.4
"Montana",1974,121.9
"Nebraska",1974,110.5
"Nevada",1974,204.7
"New Hampshire",1974,269.8
"New Mexico",1974,100.3
"North Carolina",1974,227.3
"North Dakota",1974,110.5
"Ohio",1974,122.1
"Oklahoma",1974,130.5
"Pennsylvania",1974,114.2
"Rhode Island",1974,146.1
"South Carolina",1974,129.7
"South Dakota",1974,108.4
"Tennessee",1974,114.8
"Texas",1974,114.7
"Utah",1974,75.6
"Vermont",1974,151.8
"Virginia",1974,149.6
"West Virginia",1974,119.9
"Wisconsin",1974,111.8
"Wyoming",1974,145.8
"California",1974,126.7
"Alabama",1975,111.7
"Arkansas",1975,114.8
"Colorado",1975,131
"Connecticut",1975,110.2
"Delaware",1975,147.6
"Georgia",1975,122.9
"Idaho",1975,123.3
"Illinois",1975,131.8
"Indiana",1975,162.4
"Iowa",1975,120.5
"Kansas",1975,123.4
"Kentucky",1975,223
"Louisiana",1975,133.6
"Maine",1975,140.7
"Minnesota",1975,111.5
"Mississippi",1975,116.8
"Missouri",1975,135.6
"Montana",1975,123.7
"Nebraska",1975,114.1
"Nevada",1975,205.2
"New Hampshire",1975,269.1
"New Mexico",1975,103.1
"North Carolina",1975,226
"North Dakota",1975,117.9
"Ohio",1975,122.5
"Oklahoma",1975,132.9
"Pennsylvania",1975,114.6
"Rhode Island",1975,154.7
"South Carolina",1975,130.5
"South Dakota",1975,113.5
"Tennessee",1975,117.4
"Texas",1975,116
"Utah",1975,75.8
"Vermont",1975,155.5
"Virginia",1975,152.7
"West Virginia",1975,123.2
"Wisconsin",1975,113.5
"Wyoming",1975,160.7
"California",1975,127.1
"Alabama",1976,116.2
"Arkansas",1976,119.1
"Colorado",1976,134.2
"Connecticut",1976,113.4
"Delaware",1976,153
"Georgia",1976,125.9
"Idaho",1976,125.1
"Illinois",1976,134.4
"Indiana",1976,166.6
"Iowa",1976,124.4
"Kansas",1976,127.7
"Kentucky",1976,230.9
"Louisiana",1976,139.6
"Maine",1976,144.9
"Minnesota",1976,116.7
"Mississippi",1976,120.9
"Missouri",1976,139.5
"Montana",1976,124.9
"Nebraska",1976,118.1
"Nevada",1976,201.4
"New Hampshire",1976,290.5
"New Mexico",1976,102.4
"North Carolina",1976,230.2
"North Dakota",1976,125.4
"Ohio",1976,124.6
"Oklahoma",1976,138.6
"Pennsylvania",1976,118.8
"Rhode Island",1976,150.2
"South Carolina",1976,136.8
"South Dakota",1976,116.7
"Tennessee",1976,121.7
"Texas",1976,121.4
"Utah",1976,77.9
"Vermont",1976,171.1
"Virginia",1976,158.1
"West Virginia",1976,129.7
"Wisconsin",1976,115.4
"Wyoming",1976,161.5
"California",1976,128
"Alabama",1977,117.1
"Arkansas",1977,122.6
"Colorado",1977,132
"Connecticut",1977,117.3
"Delaware",1977,153.3
"Georgia",1977,127.9
"Idaho",1977,125
"Illinois",1977,134
"Indiana",1977,173
"Iowa",1977,125.5
"Kansas",1977,127.9
"Kentucky",1977,229.4
"Louisiana",1977,140
"Maine",1977,145.6
"Minnesota",1977,117.2
"Mississippi",1977,122.1
"Missouri",1977,140.8
"Montana",1977,127
"Nebraska",1977,117.7
"Nevada",1977,190.8
"New Hampshire",1977,278.8
"New Mexico",1977,102.4
"North Carolina",1977,217
"North Dakota",1977,122.2
"Ohio",1977,127.3
"Oklahoma",1977,140.4
"Pennsylvania",1977,120.1
"Rhode Island",1977,148.8
"South Carolina",1977,137.2
"South Dakota",1977,115.6
"Tennessee",1977,124.6
"Texas",1977,124.2
"Utah",1977,78
"Vermont",1977,169.4
"Virginia",1977,157.7
"West Virginia",1977,133.9
"Wisconsin",1977,117.2
"Wyoming",1977,160.4
"California",1977,126.4
"Alabama",1978,123
"Arkansas",1978,127.3
"Colorado",1978,129.2
"Connecticut",1978,117.5
"Delaware",1978,155.5
"Georgia",1978,130.6
"Idaho",1978,122.8
"Illinois",1978,136.7
"Indiana",1978,150.9
"Iowa",1978,127.1
"Kansas",1978,127.1
"Kentucky",1978,224.7
"Louisiana",1978,142.7
"Maine",1978,143.9
"Minnesota",1978,118.9
"Mississippi",1978,124.9
"Missouri",1978,141.8
"Montana",1978,127.2
"Nebraska",1978,117.4
"Nevada",1978,187
"New Hampshire",1978,269.6
"New Mexico",1978,103.1
"North Carolina",1978,205.5
"North Dakota",1978,121.9
"Ohio",1978,131.3
"Oklahoma",1978,143.6
"Pennsylvania",1978,122.3
"Rhode Island",1978,146.8
"South Carolina",1978,140.4
"South Dakota",1978,116.9
"Tennessee",1978,127.3
"Texas",1978,126.6
"Utah",1978,79.6
"Vermont",1978,162.4
"Virginia",1978,155.9
"West Virginia",1978,131.6
"Wisconsin",1978,116.7
"Wyoming",1978,160.3
"California",1978,126.1
"Alabama",1979,121.4
"Arkansas",1979,126.5
"Colorado",1979,131.5
"Connecticut",1979,117.4
"Delaware",1979,150.2
"Georgia",1979,131
"Idaho",1979,117.5
"Illinois",1979,135.3
"Indiana",1979,148.9
"Iowa",1979,124.2
"Kansas",1979,126.4
"Kentucky",1979,214.9
"Louisiana",1979,140.1
"Maine",1979,138.5
"Minnesota",1979,118.3
"Mississippi",1979,123.9
"Missouri",1979,140.2
"Montana",1979,120.3
"Nebraska",1979,116.1
"Nevada",1979,183.3
"New Hampshire",1979,254.6
"New Mexico",1979,101
"North Carolina",1979,197.3
"North Dakota",1979,121.3
"Ohio",1979,130.9
"Oklahoma",1979,141.6
"Pennsylvania",1979,122.6
"Rhode Island",1979,145.8
"South Carolina",1979,135.7
"South Dakota",1979,117.4
"Tennessee",1979,127.2
"Texas",1979,126.4
"Utah",1979,79.1
"Vermont",1979,160.9
"Virginia",1979,151.8
"West Virginia",1979,122.1
"Wisconsin",1979,117.1
"Wyoming",1979,168.6
"California",1979,121.9
"Alabama",1980,123.2
"Arkansas",1980,131.8
"Colorado",1980,131
"Connecticut",1980,118
"Delaware",1980,150.5
"Georgia",1980,134
"Idaho",1980,115.2
"Illinois",1980,135.2
"Indiana",1980,146.9
"Iowa",1980,124.6
"Kansas",1980,127.1
"Kentucky",1980,215.3
"Louisiana",1980,143.8
"Maine",1980,141.2
"Minnesota",1980,117.7
"Mississippi",1980,127
"Missouri",1980,142.1
"Montana",1980,122
"Nebraska",1980,116.3
"Nevada",1980,177.7
"New Hampshire",1980,247.8
"New Mexico",1980,102.7
"North Carolina",1980,187.8
"North Dakota",1980,123.7
"Ohio",1980,133.5
"Oklahoma",1980,141.6
"Pennsylvania",1980,124
"Rhode Island",1980,149.3
"South Carolina",1980,138.3
"South Dakota",1980,114.7
"Tennessee",1980,130.4
"Texas",1980,129.7
"Utah",1980,74.8
"Vermont",1980,161.6
"Virginia",1980,148.9
"West Virginia",1980,122.3
"Wisconsin",1980,117.6
"Wyoming",1980,158.1
"California",1980,120.2
"Alabama",1981,119.6
"Arkansas",1981,128.7
"Colorado",1981,133.8
"Connecticut",1981,116.4
"Delaware",1981,152.6
"Georgia",1981,131.7
"Idaho",1981,114.1
"Illinois",1981,133
"Indiana",1981,148.5
"Iowa",1981,132.9
"Kansas",1981,132
"Kentucky",1981,209.7
"Louisiana",1981,144
"Maine",1981,138.9
"Minnesota",1981,120.8
"Mississippi",1981,125.3
"Missouri",1981,140.5
"Montana",1981,121.1
"Nebraska",1981,117
"Nevada",1981,171.9
"New Hampshire",1981,245.4
"New Mexico",1981,103
"North Carolina",1981,179.3
"North Dakota",1981,125.7
"Ohio",1981,132.8
"Oklahoma",1981,143.7
"Pennsylvania",1981,125.2
"Rhode Island",1981,151.2
"South Carolina",1981,136.1
"South Dakota",1981,115.7
"Tennessee",1981,129.1
"Texas",1981,129
"Utah",1981,77.6
"Vermont",1981,163.8
"Virginia",1981,149.9
"West Virginia",1981,120.5
"Wisconsin",1981,119.9
"Wyoming",1981,163.1
"California",1981,118.6
"Alabama",1982,119.1
"Arkansas",1982,127.4
"Colorado",1982,130.5
"Connecticut",1982,114.7
"Delaware",1982,154.1
"Georgia",1982,131.2
"Idaho",1982,111.5
"Illinois",1982,130.7
"Indiana",1982,147.7
"Iowa",1982,116.2
"Kansas",1982,130.9
"Kentucky",1982,210.6
"Louisiana",1982,143.9
"Maine",1982,139.5
"Minnesota",1982,119.4
"Mississippi",1982,125.8
"Missouri",1982,139.7
"Montana",1982,122.4
"Nebraska",1982,117.1
"Nevada",1982,165.1
"New Hampshire",1982,239.8
"New Mexico",1982,97.5
"North Carolina",1982,179
"North Dakota",1982,126.8
"Ohio",1982,134
"Oklahoma",1982,147
"Pennsylvania",1982,123.3
"Rhode Island",1982,146.3
"South Carolina",1982,136
"South Dakota",1982,113
"Tennessee",1982,131.4
"Texas",1982,131.2
"Utah",1982,73.6
"Vermont",1982,162.3
"Virginia",1982,147.4
"West Virginia",1982,119.8
"Wisconsin",1982,115.6
"Wyoming",1982,157.7
"California",1982,115.4
"Alabama",1983,116.3
"Arkansas",1983,128
"Colorado",1983,125.3
"Connecticut",1983,114.1
"Delaware",1983,149.6
"Georgia",1983,128.6
"Idaho",1983,111.3
"Illinois",1983,127.9
"Indiana",1983,143
"Iowa",1983,115.6
"Kansas",1983,127.6
"Kentucky",1983,201.1
"Louisiana",1983,133.7
"Maine",1983,135.4
"Minnesota",1983,113.2
"Mississippi",1983,122.3
"Missouri",1983,134.1
"Montana",1983,113.7
"Nebraska",1983,110.8
"Nevada",1983,159.2
"New Hampshire",1983,232.9
"New Mexico",1983,96.3
"North Carolina",1983,169.8
"North Dakota",1983,119.6
"Ohio",1983,130
"Oklahoma",1983,140
"Pennsylvania",1983,125.3
"Rhode Island",1983,135.8
"South Carolina",1983,131.1
"South Dakota",1983,109.8
"Tennessee",1983,129
"Texas",1983,126.4
"Utah",1983,69
"Vermont",1983,153.8
"Virginia",1983,144.7
"West Virginia",1983,115.7
"Wisconsin",1983,106.3
"Wyoming",1983,141.2
"California",1983,110.8
"Alabama",1984,113
"Arkansas",1984,123.1
"Colorado",1984,119.7
"Connecticut",1984,112.5
"Delaware",1984,144
"Georgia",1984,126.3
"Idaho",1984,103.6
"Illinois",1984,124
"Indiana",1984,137.8
"Iowa",1984,111.2
"Kansas",1984,121.7
"Kentucky",1984,183.2
"Louisiana",1984,128.9
"Maine",1984,135.5
"Minnesota",1984,110.8
"Mississippi",1984,116.4
"Missouri",1984,130
"Montana",1984,110.1
"Nebraska",1984,107.7
"Nevada",1984,136.6
"New Hampshire",1984,215.1
"New Mexico",1984,88.9
"North Carolina",1984,160.6
"North Dakota",1984,109.4
"Ohio",1984,127.1
"Oklahoma",1984,128.1
"Pennsylvania",1984,115.3
"Rhode Island",1984,136.9
"South Carolina",1984,127
"South Dakota",1984,105.7
"Tennessee",1984,125.1
"Texas",1984,117.2
"Utah",1984,66.3
"Vermont",1984,144.3
"Virginia",1984,136.8
"West Virginia",1984,111.9
"Wisconsin",1984,105.6
"Wyoming",1984,128.9
"California",1984,104.8
"Alabama",1985,114.5
"Arkansas",1985,125.8
"Colorado",1985,112.4
"Connecticut",1985,111
"Delaware",1985,144.5
"Georgia",1985,128.8
"Idaho",1985,100.7
"Illinois",1985,121.6
"Indiana",1985,135.3
"Iowa",1985,109.4
"Kansas",1985,115.7
"Kentucky",1985,182.4
"Louisiana",1985,125
"Maine",1985,127.9
"Minnesota",1985,113
"Mississippi",1985,115.3
"Missouri",1985,129.2
"Montana",1985,103.6
"Nebraska",1985,105.1
"Nevada",1985,146.7
"New Hampshire",1985,201.1
"New Mexico",1985,88
"North Carolina",1985,156.3
"North Dakota",1985,103.2
"Ohio",1985,126.7
"Oklahoma",1985,124.2
"Pennsylvania",1985,115.8
"Rhode Island",1985,133.4
"South Carolina",1985,125.4
"South Dakota",1985,104.4
"Tennessee",1985,128.7
"Texas",1985,115.9
"Utah",1985,66.5
"Vermont",1985,144.5
"Virginia",1985,134.6
"West Virginia",1985,109.1
"Wisconsin",1985,107
"Wyoming",1985,125.7
"California",1985,102.8
"Alabama",1986,116.3
"Arkansas",1986,126
"Colorado",1986,109.9
"Connecticut",1986,108.5
"Delaware",1986,142.4
"Georgia",1986,129
"Idaho",1986,96.7
"Illinois",1986,118.2
"Indiana",1986,137.6
"Iowa",1986,104.1
"Kansas",1986,109.4
"Kentucky",1986,179.8
"Louisiana",1986,121.2
"Maine",1986,119
"Minnesota",1986,104.3
"Mississippi",1986,113.2
"Missouri",1986,128.8
"Montana",1986,97.8
"Nebraska",1986,103.1
"Nevada",1986,142.6
"New Hampshire",1986,195.9
"New Mexico",1986,88.2
"North Carolina",1986,154.4
"North Dakota",1986,99.8
"Ohio",1986,126.3
"Oklahoma",1986,119.9
"Pennsylvania",1986,113.9
"Rhode Island",1986,136.3
"South Carolina",1986,126.6
"South Dakota",1986,97
"Tennessee",1986,129
"Texas",1986,113.7
"Utah",1986,64.4
"Vermont",1986,131.2
"Virginia",1986,135.8
"West Virginia",1986,112.1
"Wisconsin",1986,105.4
"Wyoming",1986,124.8
"California",1986,99.7
"Alabama",1987,114
"Arkansas",1987,122.3
"Colorado",1987,102.4
"Connecticut",1987,109
"Delaware",1987,141
"Georgia",1987,129.3
"Idaho",1987,95
"Illinois",1987,109.5
"Indiana",1987,134
"Iowa",1987,101.1
"Kansas",1987,105.2
"Kentucky",1987,171.2
"Louisiana",1987,116.5
"Maine",1987,125
"Minnesota",1987,108.8
"Mississippi",1987,110
"Missouri",1987,128.7
"Montana",1987,91.7
"Nebraska",1987,101.3
"Nevada",1987,147.7
"New Hampshire",1987,195.1
"New Mexico",1987,82.3
"North Carolina",1987,150.5
"North Dakota",1987,92.3
"Ohio",1987,124.6
"Oklahoma",1987,113.1
"Pennsylvania",1987,110.6
"Rhode Island",1987,124.4
"South Carolina",1987,126.6
"South Dakota",1987,95.8
"Tennessee",1987,130.6
"Texas",1987,105.8
"Utah",1987,67.7
"Vermont",1987,128.3
"Virginia",1987,133
"West Virginia",1987,107.5
"Wisconsin",1987,106
"Wyoming",1987,110.4
"California",1987,97.5
"Alabama",1988,112.1
"Arkansas",1988,121.5
"Colorado",1988,94.6
"Connecticut",1988,104.8
"Delaware",1988,137.1
"Georgia",1988,124.1
"Idaho",1988,84.5
"Illinois",1988,107.6
"Indiana",1988,134
"Iowa",1988,100.2
"Kansas",1988,103.2
"Kentucky",1988,173.2
"Louisiana",1988,110.9
"Maine",1988,125
"Minnesota",1988,94.1
"Mississippi",1988,109
"Missouri",1988,127.4
"Montana",1988,87.1
"Nebraska",1988,92.9
"Nevada",1988,141.9
"New Hampshire",1988,180.4
"New Mexico",1988,77.7
"North Carolina",1988,146
"North Dakota",1988,87.1
"Ohio",1988,122.4
"Oklahoma",1988,103.6
"Pennsylvania",1988,107.6
"Rhode Island",1988,138
"South Carolina",1988,124.4
"South Dakota",1988,91.9
"Tennessee",1988,125.3
"Texas",1988,96.5
"Utah",1988,55
"Vermont",1988,128.7
"Virginia",1988,129.5
"West Virginia",1988,109.1
"Wisconsin",1988,102.6
"Wyoming",1988,114.3
"California",1988,90.1
"Alabama",1989,105.6
"Arkansas",1989,118.3
"Colorado",1989,88.8
"Connecticut",1989,100.6
"Delaware",1989,131.7
"Georgia",1989,117.1
"Idaho",1989,78.4
"Illinois",1989,104.6
"Indiana",1989,132.5
"Iowa",1989,94.4
"Kansas",1989,96.5
"Kentucky",1989,171.6
"Louisiana",1989,103.6
"Maine",1989,122.4
"Minnesota",1989,92.3
"Mississippi",1989,108.3
"Missouri",1989,122.8
"Montana",1989,86.2
"Nebraska",1989,93.8
"Nevada",1989,137.9
"New Hampshire",1989,172.9
"New Mexico",1989,74.4
"North Carolina",1989,139.3
"North Dakota",1989,84.1
"Ohio",1989,118.6
"Oklahoma",1989,97.5
"Pennsylvania",1989,107.1
"Rhode Island",1989,120.8
"South Carolina",1989,122.4
"South Dakota",1989,87.4
"Tennessee",1989,124.7
"Texas",1989,94.5
"Utah",1989,57
"Vermont",1989,120.9
"Virginia",1989,122.5
"West Virginia",1989,104
"Wisconsin",1989,100.3
"Wyoming",1989,111.4
"California",1989,82.4
"Alabama",1990,108.6
"Arkansas",1990,113.1
"Colorado",1990,87.4
"Connecticut",1990,91.5
"Delaware",1990,127.2
"Georgia",1990,113.8
"Idaho",1990,90.1
"Illinois",1990,94.1
"Indiana",1990,128.3
"Iowa",1990,95.4
"Kansas",1990,94.3
"Kentucky",1990,182.5
"Louisiana",1990,101.5
"Maine",1990,117.5
"Minnesota",1990,90.7
"Mississippi",1990,101.8
"Missouri",1990,119.1
"Montana",1990,84.7
"Nebraska",1990,89.9
"Nevada",1990,137.3
"New Hampshire",1990,152.4
"New Mexico",1990,70.8
"North Carolina",1990,133.7
"North Dakota",1990,77.1
"Ohio",1990,115.5
"Oklahoma",1990,88.4
"Pennsylvania",1990,101.3
"Rhode Island",1990,101.4
"South Carolina",1990,118.6
"South Dakota",1990,88.3
"Tennessee",1990,121.8
"Texas",1990,85.6
"Utah",1990,53.4
"Vermont",1990,124.3
"Virginia",1990,118.9
"West Virginia",1990,104.1
"Wisconsin",1990,94
"Wyoming",1990,96.9
"California",1990,77.8
"Alabama",1991,107.9
"Arkansas",1991,116.8
"Colorado",1991,90.2
"Connecticut",1991,86.7
"Delaware",1991,118.8
"Georgia",1991,109.6
"Idaho",1991,85.4
"Illinois",1991,96.1
"Indiana",1991,127.2
"Iowa",1991,97.1
"Kansas",1991,91.8
"Kentucky",1991,170.4
"Louisiana",1991,107.2
"Maine",1991,116.1
"Minnesota",1991,86.2
"Mississippi",1991,105.6
"Missouri",1991,119.9
"Montana",1991,82.9
"Nebraska",1991,92.4
"Nevada",1991,115.5
"New Hampshire",1991,144.8
"New Mexico",1991,69.9
"North Carolina",1991,132.7
"North Dakota",1991,85.2
"Ohio",1991,113.2
"Oklahoma",1991,87.8
"Pennsylvania",1991,102.5
"Rhode Island",1991,103.6
"South Carolina",1991,121.5
"South Dakota",1991,91.8
"Tennessee",1991,120.6
"Texas",1991,79.4
"Utah",1991,53.5
"Vermont",1991,120.9
"Virginia",1991,109.1
"West Virginia",1991,100.1
"Wisconsin",1991,95.5
"Wyoming",1991,109.1
"California",1991,68.7
"Alabama",1992,109.1
"Arkansas",1992,126
"Colorado",1992,88.3
"Connecticut",1992,83.5
"Delaware",1992,120
"Georgia",1992,109.2
"Idaho",1992,85.1
"Illinois",1992,94.8
"Indiana",1992,128.2
"Iowa",1992,95.2
"Kansas",1992,90
"Kentucky",1992,167.6
"Louisiana",1992,108.5
"Maine",1992,114.5
"Minnesota",1992,83.8
"Mississippi",1992,103.9
"Missouri",1992,122.3
"Montana",1992,86.6
"Nebraska",1992,90.6
"Nevada",1992,110
"New Hampshire",1992,143.7
"New Mexico",1992,71.4
"North Carolina",1992,128.9
"North Dakota",1992,74.3
"Ohio",1992,112.3
"Oklahoma",1992,86.3
"Pennsylvania",1992,96.2
"Rhode Island",1992,100.1
"South Carolina",1992,112.8
"South Dakota",1992,93
"Tennessee",1992,121
"Texas",1992,77.2
"Utah",1992,55
"Vermont",1992,126.5
"Virginia",1992,108.2
"West Virginia",1992,97.9
"Wisconsin",1992,96.2
"Wyoming",1992,110.8
"California",1992,67.5
"Alabama",1993,108.5
"Arkansas",1993,113.8
"Colorado",1993,88.6
"Connecticut",1993,79.1
"Delaware",1993,123.8
"Georgia",1993,109.2
"Idaho",1993,86.7
"Illinois",1993,94.6
"Indiana",1993,126.8
"Iowa",1993,92.5
"Kansas",1993,89.9
"Kentucky",1993,167.6
"Louisiana",1993,106.2
"Maine",1993,108.5
"Minnesota",1993,81.6
"Mississippi",1993,105.4
"Missouri",1993,121.6
"Montana",1993,86
"Nebraska",1993,91.1
"Nevada",1993,108.1
"New Hampshire",1993,148.9
"New Mexico",1993,69
"North Carolina",1993,129.7
"North Dakota",1993,83
"Ohio",1993,108.9
"Oklahoma",1993,86.2
"Pennsylvania",1993,94.7
"Rhode Island",1993,94.1
"South Carolina",1993,115.2
"South Dakota",1993,91.6
"Tennessee",1993,120.8
"Texas",1993,81.3
"Utah",1993,56.2
"Vermont",1993,117.2
"Virginia",1993,105.4
"West Virginia",1993,111
"Wisconsin",1993,91.2
"Wyoming",1993,108.4
"California",1993,63.4
"Alabama",1994,107.1
"Arkansas",1994,108.8
"Colorado",1994,89.1
"Connecticut",1994,76.6
"Delaware",1994,126.1
"Georgia",1994,107.8
"Idaho",1994,93
"Illinois",1994,85.7
"Indiana",1994,128.2
"Iowa",1994,93.4
"Kansas",1994,89.1
"Kentucky",1994,170.1
"Louisiana",1994,105.3
"Maine",1994,101.6
"Minnesota",1994,83.4
"Mississippi",1994,106
"Missouri",1994,119.4
"Montana",1994,88.2
"Nebraska",1994,85.9
"Nevada",1994,105.2
"New Hampshire",1994,153.8
"New Mexico",1994,68.2
"North Carolina",1994,112.7
"North Dakota",1994,81
"Ohio",1994,108.6
"Oklahoma",1994,104.8
"Pennsylvania",1994,95.4
"Rhode Island",1994,91.9
"South Carolina",1994,112.2
"South Dakota",1994,94.8
"Tennessee",1994,118.8
"Texas",1994,78.8
"Utah",1994,55.8
"Vermont",1994,120.3
"Virginia",1994,106.2
"West Virginia",1994,104.2
"Wisconsin",1994,91.8
"Wyoming",1994,111.2
"California",1994,58.6
"Alabama",1995,102.6
"Arkansas",1995,113
"Colorado",1995,85.4
"Connecticut",1995,79.3
"Delaware",1995,127.2
"Georgia",1995,100.3
"Idaho",1995,78.2
"Illinois",1995,84.3
"Indiana",1995,135.4
"Iowa",1995,93
"Kansas",1995,90.1
"Kentucky",1995,175.3
"Louisiana",1995,105.7
"Maine",1995,102.3
"Minnesota",1995,84.1
"Mississippi",1995,107.5
"Missouri",1995,124
"Montana",1995,90.5
"Nebraska",1995,88.5
"Nevada",1995,100.9
"New Hampshire",1995,158.5
"New Mexico",1995,67
"North Carolina",1995,124.9
"North Dakota",1995,80.6
"Ohio",1995,111.7
"Oklahoma",1995,109.5
"Pennsylvania",1995,95.4
"Rhode Island",1995,90.8
"South Carolina",1995,109.2
"South Dakota",1995,98.6
"Tennessee",1995,125.4
"Texas",1995,75.2
"Utah",1995,52
"Vermont",1995,123.2
"Virginia",1995,106.7
"West Virginia",1995,115.2
"Wisconsin",1995,93.5
"Wyoming",1995,115
"California",1995,56.4
"Alabama",1996,101.4
"Arkansas",1996,110.7
"Colorado",1996,83.1
"Connecticut",1996,76
"Delaware",1996,128.3
"Georgia",1996,102.7
"Idaho",1996,73.6
"Illinois",1996,81.8
"Indiana",1996,135.1
"Iowa",1996,94
"Kansas",1996,88.7
"Kentucky",1996,179
"Louisiana",1996,106.8
"Maine",1996,100
"Minnesota",1996,81.7
"Mississippi",1996,106.9
"Missouri",1996,124.1
"Montana",1996,87.3
"Nebraska",1996,86.2
"Nevada",1996,99
"New Hampshire",1996,158
"New Mexico",1996,65.7
"North Carolina",1996,129.7
"North Dakota",1996,80.8
"Ohio",1996,107.6
"Oklahoma",1996,110.8
"Pennsylvania",1996,93.3
"Rhode Island",1996,87.5
"South Carolina",1996,102.9
"South Dakota",1996,92.3
"Tennessee",1996,119.2
"Texas",1996,74.6
"Utah",1996,54
"Vermont",1996,102.5
"Virginia",1996,104.6
"West Virginia",1996,112.7
"Wisconsin",1996,92.1
"Wyoming",1996,110.3
"California",1996,54.5
